dropout,batch_size,learning_rate,color_jitter,epoch,train_acc,val_acc


RUN 1/72 PARAMETERS: dropout=0.5, batch_size=32, learning_rate=0.001, color_jitter=0.1
0.7,32,0.001,0.1,8,0.9327,0.9430
0.7,32,0.001,0.1,9,0.9341,0.9369
0.7,32,0.001,0.1,10,0.9344,0.9311


RUN 38/72 PARAMETERS: dropout=0.7, batch_size=32, learning_rate=0.001, color_jitter=0.2

0.7,32,0.001,0.2,1,0.7868,0.8840
0.7,32,0.001,0.2,2,0.8858,0.9187
0.7,32,0.001,0.2,3,0.9071,0.9120
0.7,32,0.001,0.2,4,0.9175,0.9225
0.7,32,0.001,0.2,5,0.9237,0.9213
0.7,32,0.001,0.2,6,0.9284,0.9105
0.7,32,0.001,0.2,7,0.9323,0.9166
0.7,32,0.001,0.2,8,0.9345,0.9419
0.7,32,0.001,0.2,9,0.9355,0.9401
0.7,32,0.001,0.2,10,0.9363,0.9430


RUN 39/72 PARAMETERS: dropout=0.7, batch_size=32, learning_rate=0.001, color_jitter=0.3

0.7,32,0.001,0.3,1,0.8055,0.8879
0.7,32,0.001,0.3,2,0.8901,0.9034
0.7,32,0.001,0.3,3,0.9096,0.9023
0.7,32,0.001,0.3,4,0.9199,0.9335
0.7,32,0.001,0.3,5,0.9251,0.9341
0.7,32,0.001,0.3,6,0.9291,0.9338
0.7,32,0.001,0.3,7,0.9332,0.9316
0.7,32,0.001,0.3,8,0.9345,0.9387
0.7,32,0.001,0.3,9,0.9352,0.9378
0.7,32,0.001,0.3,10,0.9356,0.9429


RUN 40/72 PARAMETERS: dropout=0.7, batch_size=32, learning_rate=0.0001, color_jitter=0.1

0.7,32,0.0001,0.1,1,0.6599,0.7592
0.7,32,0.0001,0.1,2,0.7957,0.8357
0.7,32,0.0001,0.1,3,0.8396,0.8675
0.7,32,0.0001,0.1,4,0.8657,0.8853
0.7,32,0.0001,0.1,5,0.8867,0.8973
0.7,32,0.0001,0.1,6,0.8993,0.9029
0.7,32,0.0001,0.1,7,0.9095,0.9110
0.7,32,0.0001,0.1,8,0.9175,0.9160
0.7,32,0.0001,0.1,9,0.9255,0.9183
0.7,32,0.0001,0.1,10,0.9304,0.9212


RUN 41/72 PARAMETERS: dropout=0.7, batch_size=32, learning_rate=0.0001, color_jitter=0.2

0.7,32,0.0001,0.2,1,0.6742,0.7620
0.7,32,0.0001,0.2,2,0.7889,0.8285
0.7,32,0.0001,0.2,3,0.8309,0.8600
0.7,32,0.0001,0.2,4,0.8582,0.8800
0.7,32,0.0001,0.2,5,0.8813,0.8929
0.7,32,0.0001,0.2,6,0.8945,0.9007
0.7,32,0.0001,0.2,7,0.9049,0.9030
0.7,32,0.0001,0.2,8,0.9124,0.9107
0.7,32,0.0001,0.2,9,0.9191,0.9097
0.7,32,0.0001,0.2,10,0.9253,0.9129


RUN 42/72 PARAMETERS: dropout=0.7, batch_size=32, learning_rate=0.0001, color_jitter=0.3

0.7,32,0.0001,0.3,1,0.6418,0.7411
0.7,32,0.0001,0.3,2,0.7756,0.8163
0.7,32,0.0001,0.3,3,0.8265,0.8440
0.7,32,0.0001,0.3,4,0.8570,0.8802
0.7,32,0.0001,0.3,5,0.8784,0.8931
0.7,32,0.0001,0.3,6,0.8969,0.9059
0.7,32,0.0001,0.3,7,0.9087,0.9130
0.7,32,0.0001,0.3,8,0.9173,0.9223
0.7,32,0.0001,0.3,9,0.9255,0.9140
0.7,32,0.0001,0.3,10,0.9302,0.9231


RUN 43/72 PARAMETERS: dropout=0.7, batch_size=32, learning_rate=1e-05, color_jitter=0.1

0.7,32,1e-05,0.1,1,0.5411,0.6026
0.7,32,1e-05,0.1,2,0.6008,0.6396
0.7,32,1e-05,0.1,3,0.6422,0.6669
