dropout,batch_size,learning_rate,color_jitter,epoch,train_acc,val_acc


RUN 1/72 PARAMETERS: dropout=0.5, batch_size=32, learning_rate=0.001, color_jitter=0.1
0.6,32,0.0001,0.1,13,0.9430,0.9232
0.6,32,0.0001,0.1,14,0.9472,0.9234
0.6,32,0.0001,0.1,15,0.9504,0.9262
0.6,32,0.0001,0.1,16,0.9515,0.9265
0.6,32,0.0001,0.1,17,0.9530,0.9259
0.6,32,0.0001,0.1,18,0.9638,0.9222
0.6,32,0.0001,0.1,19,0.9668,0.9234
0.6,32,0.0001,0.1,20,0.9705,0.9210


RUN 23/72 PARAMETERS: dropout=0.6, batch_size=32, learning_rate=0.0001, color_jitter=0.2

0.6,32,0.0001,0.2,1,0.6787,0.7564
0.6,32,0.0001,0.2,2,0.7768,0.8132
0.6,32,0.0001,0.2,3,0.8282,0.8569
0.6,32,0.0001,0.2,4,0.8585,0.8740
0.6,32,0.0001,0.2,5,0.8777,0.8900
0.6,32,0.0001,0.2,6,0.8942,0.8971
0.6,32,0.0001,0.2,7,0.9049,0.8992
0.6,32,0.0001,0.2,8,0.9137,0.9038
0.6,32,0.0001,0.2,9,0.9212,0.9117
0.6,32,0.0001,0.2,10,0.9246,0.9062
0.6,32,0.0001,0.2,11,0.9305,0.9143
0.6,32,0.0001,0.2,12,0.9365,0.9099
0.6,32,0.0001,0.2,13,0.9404,0.9149
0.6,32,0.0001,0.2,14,0.9424,0.9198
0.6,32,0.0001,0.2,15,0.9464,0.9143
0.6,32,0.0001,0.2,16,0.9483,0.9169
0.6,32,0.0001,0.2,17,0.9516,0.9159
0.6,32,0.0001,0.2,18,0.9613,0.9196
0.6,32,0.0001,0.2,19,0.9656,0.9196
0.6,32,0.0001,0.2,20,0.9679,0.9194


RUN 24/72 PARAMETERS: dropout=0.6, batch_size=32, learning_rate=0.0001, color_jitter=0.3

0.6,32,0.0001,0.3,1,0.6513,0.7484
0.6,32,0.0001,0.3,2,0.7786,0.8184
